case,func,dimension_limit,seed,contexts,preset,truth_available,delta,function_evaluations,graph_edges_before_pruning,graph_edges_after_pruning,groups,shared_variables,over_shared_ratio,singleton_count,mean_group_size,max_group_size,validation_errors,shared_precision,shared_recall,shared_f1,mean_best_group_jaccard,exact_group_matches,output_dir
flyki:1,1,10,1,3,balanced,true,0.0001,540,45,7,10,6,0.6,3,1.7,2,0,0.166666666667,0.5,0.25,0.65,3,results\repro_smoke\runs\f1_d10_s1_c3_balanced
flyki:1,1,10,1,3,capped,true,0.0001,540,45,10,9,5,0.5,0,3.11111111111,7,0,0.2,0.5,0.285714285714,0.374338624339,0,results\repro_smoke\runs\f1_d10_s1_c3_capped
flyki:1,1,10,1,3,conservative,true,0.0001,540,45,2,9,0,0,8,1.11111111111,2,0,0,0,0,0.888888888889,7,results\repro_smoke\runs\f1_d10_s1_c3_conservative
flyki:1,1,10,3,3,balanced,true,0.0001,540,45,7,10,5,0.5,3,1.7,2,0,0.2,0.5,0.285714285714,0.733333333333,5,results\repro_smoke\runs\f1_d10_s3_c3_balanced
flyki:1,1,10,3,3,capped,true,0.0001,540,45,10,8,5,0.5,1,3.125,6,0,0.2,0.5,0.285714285714,0.541666666667,2,results\repro_smoke\runs\f1_d10_s3_c3_capped
flyki:1,1,10,3,3,conservative,true,0.0001,540,45,2,9,0,0,8,1.11111111111,2,0,0,0,0,0.888888888889,7,results\repro_smoke\runs\f1_d10_s3_c3_conservative
